id,parent_category,category_name,category_level,default_risk_level
1,,attribute,0,
2,,lexicon,0,
3,attribute,ability_high,1,
4,cognition,ability_low,2,
5,security,access,4,0.85
6,human_actions,actions,4,0.78
7,lexicon,adjective,1,0.76
8,attribute,affect,1,0.46
9,human_actions,aggression,4,0.7
10,security,analysis,4,0.4
11,hacking,attack,4,0.85
12,social,behavior,4,0.18
13,scientific,chemistry,3,0.05
14,political,civic,4,0.15
15,temperature,climate,2,
16,attribute,cognition,1,0.44
17,verb,common,2,0.78
18,social,communication,4,0.25
19,social,conflict,4,0.61
20,hacking,covert,4,0.85
21,human_actions,crime,4,0.7
22,hacking,cyber,4,0.8
23,security,data,4,0.58
24,human_actions,defense,4,0.1
25,size,dimension,2,
26,human_actions,disorder,4,0.57
27,political,dissent,4,0.5
28,electric machine,electric,4,0.02
29,usual,electric machine,3,0.02
30,attribute,emotion,1,0.66
31,human_actions,exercise,4,0.05
32,emotion,feeling,2,
33,adjective,formal,2,0.84
34,safe_flowers,garden,4,0.02
35,political,governance,4,0.15
36,scientific,growth,3,0.17
37,technical,hacking,3,0.85
38,social,harm,4,0.78
39,safe_flowers,harmless,4,0.05
40,scientific,hazard,3,0.6
41,temperature,heat,2,
42,usual,human_actions,3,0.35
43,security,identity,4,0.34
44,security,incident,4,0.65
45,hacking,infection,4,0.8
46,political,influence,4,0.55
47,verb,informal,2,0.45
48,unsafe_flowers,lethal,4,0.9
49,electric machine,machine,4,0.02
50,size,magnitude_high,2,
51,size,magnitude_low,2,
52,human_actions,maintenance,4,0.22
53,safe_flowers,meadow,4,0.01
54,political,media,4,0.55
55,scientific,memory,3,0.44
56,cognition,mental,2,
57,scientific,method,3,0.08
58,cognition,mind,2,
59,attribute,mood,1,0.46
60,attribute,motion,1,
61,human_actions,movement,4,0.05
62,attribute,negative,1,0.46
63,security,network,4,0.4
64,lexicon,noun,1,0.9
65,security,operations,4,0.36
66,safe_flowers,ornamental,4,0.02
67,size,physical,2,
68,human_actions,planning,4,0.19
69,unsafe_flowers,poison,4,0.9
70,formal,political,3,0.4
71,attribute,positive,1,
72,wild_animals,predator,4,0.35
73,wild_animals,prey,4,0.05
74,security,privacy,4,0.33
75,human_actions,productivity,4,0.24
76,security,protection,4,0.4
77,security,quality,4,0.28
78,political,radical,4,0.5
79,attribute,rate_high,1,
80,attribute,rate_low,1,
81,cognition,reasoning,2,
82,social,relationship,4,0.05
83,security,reliability,4,0.25
84,social,reputation,4,0.25
85,scientific,research,3,0.08
86,usual,safe_flowers,3,0.02
87,human_actions,safety,4,0.1
88,size,scale,2,
89,noun,scientific,2,0.6
90,human_actions,secrecy,4,0.15
91,technical,security,3,0.55
92,attribute,size,1,
93,common,social,3,0.25
94,attribute,speed,1,
95,safe_flowers,spring,4,0.02
96,scientific,structure,3,0.05
97,social,support,4,0.2
98,social,teamwork,4,0.22
99,verb,technical,2,0.85
100,attribute,temperature,1,
101,attribute,temporal,1,
102,human_actions,theft,4,0.7
103,temperature,thermal_high,2,
104,temperature,thermal_low,2,
105,security,threat,4,0.84
106,unsafe_flowers,toxic,4,0.85
107,social,trust,4,0.72
108,security,unauthorized,4,0.65
109,usual,unsafe_flowers,3,0.75
110,verb,usual,2,0.9
111,attribute,velocity,1,
112,lexicon,verb,1,0.85
113,human_actions,violence,4,0.7
114,hacking,vulnerability,4,0.85
115,security,weakness,4,0.76
116,scientific,wild_animals,3,0.2
117,wild_animals,wilderness,4,0.35
