id,category_id_a,category_id_b,relation_score,ontology_relation
1,3,1,0.85,is_a
2,3,4,-0.7,opposite_of
3,3,8,0.55,sibling_of
4,3,16,0.55,sibling_of
5,3,30,0.55,sibling_of
6,3,59,0.55,sibling_of
7,3,60,0.55,sibling_of
8,3,62,0.55,sibling_of
9,3,71,0.55,sibling_of
10,3,79,0.55,sibling_of
11,3,80,0.55,sibling_of
12,3,92,0.55,sibling_of
13,3,94,0.55,sibling_of
14,3,100,0.55,sibling_of
15,3,101,0.55,sibling_of
16,3,111,0.55,sibling_of
17,4,16,0.85,is_a
18,4,56,0.55,sibling_of
19,4,58,0.55,sibling_of
20,4,81,0.55,sibling_of
21,5,10,0.55,sibling_of
22,5,23,0.55,sibling_of
23,5,43,0.55,sibling_of
24,5,44,0.55,sibling_of
25,5,63,0.55,sibling_of
26,5,65,0.55,sibling_of
27,5,74,0.55,sibling_of
28,5,76,0.55,sibling_of
29,5,77,0.55,sibling_of
30,5,83,0.55,sibling_of
31,5,91,0.85,is_a
32,5,105,0.55,sibling_of
33,5,108,0.55,sibling_of
34,5,115,0.55,sibling_of
35,6,9,0.55,sibling_of
36,6,21,0.55,sibling_of
37,6,24,0.55,sibling_of
38,6,26,0.55,sibling_of
39,6,31,0.55,sibling_of
40,6,42,0.85,is_a
41,6,52,0.55,sibling_of
42,6,61,0.55,sibling_of
43,6,68,0.55,sibling_of
44,6,75,0.55,sibling_of
45,6,87,0.55,sibling_of
46,6,90,0.55,sibling_of
47,6,102,0.55,sibling_of
48,6,113,0.55,sibling_of
49,7,2,0.85,is_a
50,7,64,0.55,sibling_of
51,7,112,0.55,sibling_of
52,8,1,0.85,is_a
53,8,16,0.55,sibling_of
54,8,30,0.55,sibling_of
55,8,59,0.55,sibling_of
56,8,60,0.55,sibling_of
57,8,62,0.55,sibling_of
58,8,71,0.55,sibling_of
59,8,79,0.55,sibling_of
60,8,80,0.55,sibling_of
61,8,92,0.55,sibling_of
62,8,94,0.55,sibling_of
63,8,100,0.55,sibling_of
64,8,101,0.55,sibling_of
65,8,111,0.55,sibling_of
66,9,21,0.55,sibling_of
67,9,24,0.55,sibling_of
68,9,26,0.55,sibling_of
69,9,31,0.55,sibling_of
70,9,42,0.85,is_a
71,9,52,0.55,sibling_of
72,9,61,0.55,sibling_of
73,9,68,0.55,sibling_of
74,9,75,0.55,sibling_of
75,9,87,0.55,sibling_of
76,9,90,0.55,sibling_of
77,9,102,0.55,sibling_of
78,9,113,0.55,sibling_of
79,10,23,0.55,sibling_of
80,10,43,0.55,sibling_of
81,10,44,0.55,sibling_of
82,10,63,0.55,sibling_of
83,10,65,0.55,sibling_of
84,10,74,0.55,sibling_of
85,10,76,0.55,sibling_of
86,10,77,0.55,sibling_of
87,10,83,0.55,sibling_of
88,10,91,0.85,is_a
89,10,105,0.55,sibling_of
90,10,108,0.55,sibling_of
91,10,115,0.55,sibling_of
92,11,20,0.55,sibling_of
93,11,22,0.55,sibling_of
94,11,37,0.85,is_a
95,11,45,0.55,sibling_of
96,11,114,0.55,sibling_of
97,12,18,0.55,sibling_of
98,12,19,0.55,sibling_of
99,12,38,0.55,sibling_of
100,12,82,0.55,sibling_of
101,12,84,0.55,sibling_of
102,12,93,0.85,is_a
103,12,97,0.55,sibling_of
104,12,98,0.55,sibling_of
105,12,107,0.55,sibling_of
106,13,36,0.55,sibling_of
107,13,40,0.55,sibling_of
108,13,55,0.55,sibling_of
109,13,57,0.55,sibling_of
110,13,85,0.55,sibling_of
111,13,89,0.85,is_a
112,13,96,0.55,sibling_of
113,13,116,0.55,sibling_of
114,14,27,0.55,sibling_of
115,14,35,0.55,sibling_of
116,14,46,0.55,sibling_of
117,14,54,0.55,sibling_of
118,14,70,0.85,is_a
119,14,78,0.55,sibling_of
120,15,41,0.55,sibling_of
121,15,100,0.85,is_a
122,15,103,0.55,sibling_of
123,15,104,0.55,sibling_of
124,16,1,0.85,is_a
125,16,30,0.55,sibling_of
126,16,59,0.55,sibling_of
127,16,60,0.55,sibling_of
128,16,62,0.55,sibling_of
129,16,71,0.55,sibling_of
130,16,79,0.55,sibling_of
131,16,80,0.55,sibling_of
132,16,92,0.55,sibling_of
133,16,94,0.55,sibling_of
134,16,100,0.55,sibling_of
135,16,101,0.55,sibling_of
136,16,111,0.55,sibling_of
137,17,47,0.55,sibling_of
138,17,99,0.55,sibling_of
139,17,110,0.55,sibling_of
140,17,112,0.85,is_a
141,18,19,0.55,sibling_of
142,18,38,0.55,sibling_of
143,18,82,0.55,sibling_of
144,18,84,0.55,sibling_of
145,18,93,0.85,is_a
146,18,97,0.55,sibling_of
147,18,98,0.55,sibling_of
148,18,107,0.55,sibling_of
149,19,38,0.55,sibling_of
150,19,82,0.55,sibling_of
151,19,84,0.55,sibling_of
152,19,93,0.85,is_a
153,19,97,0.55,sibling_of
154,19,98,0.55,sibling_of
155,19,107,0.55,sibling_of
156,20,22,0.55,sibling_of
157,20,37,0.85,is_a
158,20,45,0.55,sibling_of
159,20,114,0.55,sibling_of
160,21,24,0.55,sibling_of
161,21,26,0.55,sibling_of
162,21,31,0.55,sibling_of
163,21,42,0.85,is_a
164,21,52,0.55,sibling_of
165,21,61,0.55,sibling_of
166,21,68,0.55,sibling_of
167,21,75,0.55,sibling_of
168,21,87,0.55,sibling_of
169,21,90,0.55,sibling_of
170,21,102,0.55,sibling_of
171,21,113,0.55,sibling_of
172,22,37,0.85,is_a
173,22,45,0.55,sibling_of
174,22,114,0.55,sibling_of
175,23,43,0.55,sibling_of
176,23,44,0.55,sibling_of
177,23,63,0.55,sibling_of
178,23,65,0.55,sibling_of
179,23,74,0.55,sibling_of
180,23,76,0.55,sibling_of
181,23,77,0.55,sibling_of
182,23,83,0.55,sibling_of
183,23,91,0.85,is_a
184,23,105,0.55,sibling_of
185,23,108,0.55,sibling_of
186,23,115,0.55,sibling_of
187,24,26,0.55,sibling_of
188,24,31,0.55,sibling_of
189,24,42,0.85,is_a
190,24,52,0.55,sibling_of
191,24,61,0.55,sibling_of
192,24,68,0.55,sibling_of
193,24,75,0.55,sibling_of
194,24,87,0.55,sibling_of
195,24,90,0.55,sibling_of
196,24,102,0.55,sibling_of
197,24,113,0.55,sibling_of
198,25,50,0.55,sibling_of
199,25,51,0.55,sibling_of
200,25,67,0.55,sibling_of
201,25,88,0.55,sibling_of
202,25,92,0.85,is_a
203,26,31,0.55,sibling_of
204,26,42,0.85,is_a
205,26,52,0.55,sibling_of
206,26,61,0.55,sibling_of
207,26,68,0.55,sibling_of
208,26,75,0.55,sibling_of
209,26,87,0.55,sibling_of
210,26,90,0.55,sibling_of
211,26,102,0.55,sibling_of
212,26,113,0.55,sibling_of
213,27,35,0.55,sibling_of
214,27,46,0.55,sibling_of
215,27,54,0.55,sibling_of
216,27,70,0.85,is_a
217,27,78,0.55,sibling_of
218,28,29,0.85,is_a
219,28,49,0.55,sibling_of
220,29,42,0.55,sibling_of
221,29,86,0.55,sibling_of
222,29,109,0.55,sibling_of
223,29,110,0.85,is_a
224,30,1,0.85,is_a
225,30,59,0.55,sibling_of
226,30,60,0.55,sibling_of
227,30,62,0.55,sibling_of
228,30,71,0.55,sibling_of
229,30,79,0.55,sibling_of
230,30,80,0.55,sibling_of
231,30,92,0.55,sibling_of
232,30,94,0.55,sibling_of
233,30,100,0.55,sibling_of
234,30,101,0.55,sibling_of
235,30,111,0.55,sibling_of
236,31,42,0.85,is_a
237,31,52,0.55,sibling_of
238,31,61,0.55,sibling_of
239,31,68,0.55,sibling_of
240,31,75,0.55,sibling_of
241,31,87,0.55,sibling_of
242,31,90,0.55,sibling_of
243,31,102,0.55,sibling_of
244,31,113,0.55,sibling_of
245,32,30,0.85,is_a
246,33,7,0.85,is_a
247,34,39,0.55,sibling_of
248,34,53,0.55,sibling_of
249,34,66,0.55,sibling_of
250,34,86,0.85,is_a
251,34,95,0.55,sibling_of
252,35,46,0.55,sibling_of
253,35,54,0.55,sibling_of
254,35,70,0.85,is_a
255,35,78,0.55,sibling_of
256,36,40,0.55,sibling_of
257,36,55,0.55,sibling_of
258,36,57,0.55,sibling_of
259,36,85,0.55,sibling_of
260,36,89,0.85,is_a
261,36,96,0.55,sibling_of
262,36,116,0.55,sibling_of
263,37,91,0.55,sibling_of
264,37,99,0.85,is_a
265,38,82,0.55,sibling_of
266,38,84,0.55,sibling_of
267,38,93,0.85,is_a
268,38,97,0.55,sibling_of
269,38,98,0.55,sibling_of
270,38,107,0.55,sibling_of
271,39,53,0.55,sibling_of
272,39,66,0.55,sibling_of
273,39,86,0.85,is_a
274,39,95,0.55,sibling_of
275,40,55,0.55,sibling_of
276,40,57,0.55,sibling_of
277,40,85,0.55,sibling_of
278,40,89,0.85,is_a
279,40,96,0.55,sibling_of
280,40,116,0.55,sibling_of
281,41,100,0.85,is_a
282,41,103,0.55,sibling_of
283,41,104,0.55,sibling_of
284,42,86,0.55,sibling_of
285,42,109,0.55,sibling_of
286,42,110,0.85,is_a
287,43,44,0.55,sibling_of
288,43,63,0.55,sibling_of
289,43,65,0.55,sibling_of
290,43,74,0.55,sibling_of
291,43,76,0.55,sibling_of
292,43,77,0.55,sibling_of
293,43,83,0.55,sibling_of
294,43,91,0.85,is_a
295,43,105,0.55,sibling_of
296,43,108,0.55,sibling_of
297,43,115,0.55,sibling_of
298,44,63,0.55,sibling_of
299,44,65,0.55,sibling_of
300,44,74,0.55,sibling_of
301,44,76,0.55,sibling_of
302,44,77,0.55,sibling_of
303,44,83,0.55,sibling_of
304,44,91,0.85,is_a
305,44,105,0.55,sibling_of
306,44,108,0.55,sibling_of
307,44,115,0.55,sibling_of
308,45,37,0.85,is_a
309,45,114,0.55,sibling_of
310,46,54,0.55,sibling_of
311,46,70,0.85,is_a
312,46,78,0.55,sibling_of
313,47,99,0.55,sibling_of
314,47,110,0.55,sibling_of
315,47,112,0.85,is_a
316,48,69,0.55,sibling_of
317,48,106,0.55,sibling_of
318,48,109,0.85,is_a
319,49,29,0.85,is_a
320,50,51,-0.7,opposite_of
321,50,51,0.55,sibling_of
322,50,67,0.55,sibling_of
323,50,88,0.55,sibling_of
324,50,92,0.85,is_a
325,51,67,0.55,sibling_of
326,51,88,0.55,sibling_of
327,51,92,0.85,is_a
328,52,42,0.85,is_a
329,52,61,0.55,sibling_of
330,52,68,0.55,sibling_of
331,52,75,0.55,sibling_of
332,52,87,0.55,sibling_of
333,52,90,0.55,sibling_of
334,52,102,0.55,sibling_of
335,52,113,0.55,sibling_of
336,53,66,0.55,sibling_of
337,53,86,0.85,is_a
338,53,95,0.55,sibling_of
339,54,70,0.85,is_a
340,54,78,0.55,sibling_of
341,55,57,0.55,sibling_of
342,55,85,0.55,sibling_of
343,55,89,0.85,is_a
344,55,96,0.55,sibling_of
345,55,116,0.55,sibling_of
346,56,16,0.85,is_a
347,56,58,0.55,sibling_of
348,56,81,0.55,sibling_of
349,57,85,0.55,sibling_of
350,57,89,0.85,is_a
351,57,96,0.55,sibling_of
352,57,116,0.55,sibling_of
353,58,16,0.85,is_a
354,58,81,0.55,sibling_of
355,59,1,0.85,is_a
356,59,60,0.55,sibling_of
357,59,62,0.55,sibling_of
358,59,71,0.55,sibling_of
359,59,79,0.55,sibling_of
360,59,80,0.55,sibling_of
361,59,92,0.55,sibling_of
362,59,94,0.55,sibling_of
