id,word_id_a,word_id_b,relation_score
1,1,23,-0.92
2,2,18,-0.92
3,3,46,-0.92
4,4,22,0.92
5,4,44,-0.92
6,5,51,0.92
7,5,67,-0.92
8,5,76,-0.92
9,10,22,-0.92
10,10,67,-0.92
11,11,57,-0.92
12,11,78,-0.92
13,11,86,0.92
14,12,20,-0.92
15,12,45,0.92
16,12,55,-0.92
17,13,35,-0.92
18,13,51,0.92
19,13,76,-0.92
20,15,23,-0.92
21,15,34,0.92
22,15,77,-0.92
23,16,25,-0.92
24,16,30,-0.92
25,17,67,-0.92
26,18,64,-0.92
27,19,63,-0.92
28,20,45,-0.92
29,21,50,-0.92
30,21,54,-0.92
31,22,44,-0.92
32,23,34,-0.92
33,23,77,0.92
34,24,82,-0.92
35,25,67,-0.92
36,25,70,-0.92
37,26,83,-0.92
38,27,32,-0.92
39,30,70,-0.92
40,32,76,0.92
41,33,67,-0.92
42,33,76,-0.92
43,34,77,-0.92
44,35,87,-0.92
45,36,48,0.92
46,36,50,-0.92
47,36,54,-0.92
48,36,89,-0.92
49,37,53,-0.92
50,40,42,-0.92
51,40,52,-0.92
52,40,75,0.92
53,42,52,0.92
54,42,75,-0.92
55,45,55,-0.92
56,48,50,-0.92
57,48,89,-0.92
58,49,72,-0.92
59,50,89,0.92
60,51,67,-0.92
61,51,72,-0.92
62,52,75,-0.92
63,57,78,0.92
64,57,86,-0.92
65,60,86,-0.92
66,65,68,-0.92
67,71,87,-0.92
68,76,87,-0.92
69,78,86,-0.92
70,82,84,-0.92
