id,keyword,purpose_of_keyword,is_regex,ontology_relation
1,(?i)^word\s*:,word_section_starter,true,
2,(?i)^word\s*[—\-]\s*,word_section_starter,true,
3,(?i)^[a-z][a-z\-']+\s*[—\-]\s*(?:adjective|noun|verb|adverb)\b,word_section_starter,true,
4,(?i)^[a-z][a-z\-']+\s*\((?:adjective|noun|verb|adverb)\),word_section_starter,true,
5,(?i)^[a-z][a-z\-']+\s*$,word_section_starter,true,
6,(?i)^meaning\s*:,meaning_section_starter,true,
7,(?i)^definition\s*:,meaning_section_starter,true,
8,(?i)^synonyms?\s*:,synonym_section_starter,true,
9,(?i)^similar\s+(?:words?|terms?)\s*:,synonym_section_starter,true,
10,(?i)^words?\s+with\s+similar\s+meaning\s*:,synonym_section_starter,true,
11,(?i)^antonyms?\s*:,antonym_section_starter,true,
12,(?i)^opposite\s+(?:words?|terms?)\s*:,antonym_section_starter,true,
13,(?i)^opposites?\s*:,antonym_section_starter,true,
14,(?i)^primary(?:_category)?\s*:,primary_category_starter,true,
15,(?i)^primary\s*:,primary_category_starter,true,
16,(?i)^secondary(?:_category)?\s*:,secondary_category_starter,true,
17,(?i)^secondary\s*:,secondary_category_starter,true,
18,(?i)^(?:category\s+)?tags?\s*:,category_tags_starter,true,
19,(?i)^category\s+tags?\s*:,category_tags_starter,true,
20,(?i)^domain\s*:,domain_section_starter,true,
21,(?i)^category\s*:,domain_section_starter,true,
22,(?i)^pos\s*:,pos_section_starter,true,
23,(?i)^register\s*:,register_section_starter,true,
24,(?i)^risk_level\s*:,risk_level_section_starter,true,
1000,"(?i)\b(?:a|an)\s+type\s+of\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,is_a_type_of
1001,"(?i)\b(?:a|an)\s+kind\s+of\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,is_a_type_of
1002,"(?i)\bform\s+of\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,is_a
1003,"(?i)\bpart\s+of\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,part_of
1004,"(?i)\bgrows?\s+on\s+(?:a|an|the\s+)?([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,grows_on
1005,"(?i)\bfound\s+in\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,found_in
1006,"(?i)\brelated\s+to\s+([a-z][a-z0-9_\-]{0,32})\b",infer_category_relation,true,related_to
