word_id,category_name,role
1,speed,tag
1,rate_high,tag
1,velocity,tag
1,motion,tag
1,temporal,tag
2,noun,pos
2,emotion,tag
2,negative,tag
2,affect,tag
2,mood,tag
3,temperature,legacy_primary
3,thermal_low,legacy_secondary
3,climate,tag
3,heat,tag
4,verb,pos
4,common,register
4,social,domain
4,social,tag
4,support,tag
5,verb,pos
5,usual,register
5,human_actions,domain
5,violence,tag
5,aggression,tag
6,verb,pos
6,technical,register
6,security,domain
6,security,tag
6,identity,tag
7,verb,pos
7,technical,register
7,security,domain
7,security,tag
7,access,tag
8,noun,pos
8,technical,register
8,hacking,domain
8,access,tag
8,covert,tag
9,noun,pos
9,scientific,register
9,wild_animals,domain
9,predator,tag
9,wilderness,tag
10,verb,pos
10,common,register
10,social,domain
10,social,tag
10,trust,tag
11,adjective,pos
11,size,legacy_primary
11,magnitude_high,legacy_secondary
11,dimension,tag
11,scale,tag
11,physical,tag
12,adjective,pos
12,temperature,legacy_primary
12,thermal_high,legacy_secondary
12,heat,tag
12,physical,tag
13,noun,pos
13,technical,register
13,security,domain
13,incident,tag
13,unauthorized,tag
14,speed,legacy_primary
14,rate_high,legacy_secondary
14,temporal,tag
14,motion,tag
15,adjective,pos
15,speed,legacy_primary
15,rate_high,legacy_secondary
15,motion,tag
15,velocity,tag
15,temporal,tag
16,verb,pos
16,common,register
16,human_actions,domain
16,actions,tag
16,productivity,tag
17,verb,pos
17,informal,register
17,social,domain
17,aggression,tag
17,harm,tag
18,adjective,pos
18,common,register
18,social,domain
18,social,tag
18,emotion,tag
19,adjective,pos
19,formal,register
19,human_actions,domain
19,actions,tag
19,disorder,tag
20,adjective,pos
20,temperature,tag
20,thermal_low,tag
20,heat,tag
20,climate,tag
20,physical,tag
21,adjective,pos
21,cognition,legacy_primary
21,ability_low,legacy_secondary
21,mental,tag
21,reasoning,tag
21,mind,tag
22,verb,pos
22,common,register
22,social,domain
22,social,tag
22,teamwork,tag
23,speed,tag
23,rate_low,tag
23,motion,tag
23,temporal,tag
24,noun,pos
24,usual,register
24,safe_flowers,domain
24,meadow,tag
24,harmless,tag
